date,hour,mrt_shortname,person_time
2024-04-02,0,東門,80
2024-04-02,0,科技大樓,46
2024-04-02,0,萬隆,96
2024-04-02,0,麟光,31
2024-04-02,1,信義安和,0
2024-04-02,1,公館,0
2024-04-02,1,六張犁,0
2024-04-02,1,古亭,0
2024-04-02,1,台電大樓,0
2024-04-02,1,國父紀念館,0
2024-04-02,1,大安,0
2024-04-02,1,大安森林公園,0
2024-04-02,1,忠孝復興,0
2024-04-02,1,忠孝敦化,0
2024-04-02,1,忠孝新生,0
2024-04-02,1,東門,0
2024-04-02,1,科技大樓,0
2024-04-02,1,萬隆,2
2024-04-02,1,麟光,0
2024-04-02,5,信義安和,0
2024-04-02,5,公館,0
2024-04-02,5,六張犁,0
2024-04-02,5,古亭,0
2024-04-02,5,台電大樓,0
2024-04-02,5,國父紀念館,0
2024-04-02,5,大安,0
2024-04-02,5,大安森林公園,0
2024-04-02,5,忠孝復興,0
2024-04-02,5,忠孝敦化,1
2024-04-02,5,忠孝新生,0
2024-04-02,5,東門,0
2024-04-02,5,科技大樓,0
2024-04-02,5,萬隆,0
2024-04-02,5,麟光,0
2024-04-02,6,信義安和,322
2024-04-02,6,公館,376
2024-04-02,6,六張犁,130
2024-04-02,6,古亭,407
2024-04-02,6,台電大樓,204
2024-04-02,6,國父紀念館,285
2024-04-02,6,大安,421
2024-04-02,6,大安森林公園,252
2024-04-02,6,忠孝復興,486
2024-04-02,6,忠孝敦化,449
2024-04-02,6,忠孝新生,422
2024-04-02,6,東門,425
2024-04-02,6,科技大樓,171
2024-04-02,6,萬隆,80
2024-04-02,6,麟光,37
2024-04-02,7,信義安和,1593
2024-04-02,7,公館,1832
2024-04-02,7,六張犁,759
2024-04-02,7,古亭,1941
2024-04-02,7,台電大樓,1400
2024-04-02,7,國父紀念館,1425
2024-04-02,7,大安,3643
2024-04-02,7,大安森林公園,802
2024-04-02,7,忠孝復興,1834
2024-04-02,7,忠孝敦化,2190
2024-04-02,7,忠孝新生,2021
2024-04-02,7,東門,2405
2024-04-02,7,科技大樓,947
2024-04-02,7,萬隆,356
2024-04-02,7,麟光,117
2024-04-02,8,信義安和,4469
2024-04-02,8,公館,3128
2024-04-02,8,六張犁,1434
2024-04-02,8,古亭,4413
2024-04-02,8,台電大樓,1691
2024-04-02,8,國父紀念館,3580
2024-04-02,8,大安,5742
2024-04-02,8,大安森林公園,880
2024-04-02,8,忠孝復興,4013
2024-04-02,8,忠孝敦化,5442
2024-04-02,8,忠孝新生,5848
2024-04-02,8,東門,3278
2024-04-02,8,科技大樓,2126
2024-04-02,8,萬隆,413
2024-04-02,8,麟光,256
2024-04-02,9,信義安和,1909
2024-04-02,9,公館,2175
2024-04-02,9,六張犁,783
2024-04-02,9,古亭,2850
2024-04-02,9,台電大樓,921
2024-04-02,9,國父紀念館,2474
2024-04-02,9,大安,2377
2024-04-02,9,大安森林公園,618
2024-04-02,9,忠孝復興,3211
2024-04-02,9,忠孝敦化,2975
2024-04-02,9,忠孝新生,3271
2024-04-02,9,東門,1684
2024-04-02,9,科技大樓,1361
2024-04-02,9,萬隆,296
2024-04-02,9,麟光,320
2024-04-02,10,信義安和,911
2024-04-02,10,公館,1652
2024-04-02,10,六張犁,424
2024-04-02,10,古亭,1683
2024-04-02,10,台電大樓,668
2024-04-02,10,國父紀念館,1307
2024-04-02,10,大安,1218
2024-04-02,10,大安森林公園,448
2024-04-02,10,忠孝復興,3003
2024-04-02,10,忠孝敦化,1945
2024-04-02,10,忠孝新生,2033
2024-04-02,10,東門,1366
2024-04-02,10,科技大樓,772
2024-04-02,10,萬隆,252
2024-04-02,10,麟光,224
2024-04-02,11,信義安和,786
2024-04-02,11,公館,1460
2024-04-02,11,六張犁,369
2024-04-02,11,古亭,1368
2024-04-02,11,台電大樓,612
2024-04-02,11,國父紀念館,1102
2024-04-02,11,大安,1010
