sna,sno,mrt_name,mrt_distances,mrt_shortname
YouBike2.0_民榮公園,500101130.0,大安森林公園站出口4,113.9836805592778,大安森林公園
YouBike2.0_銘傳國小側門,500101021.0,公館站出口2,99.29780243863266,公館
YouBike2.0_和平東路二段18巷口,500101216.0,公館站出口3,480.0378919690808,公館
YouBike2.0_臺大綜合體育館停車場前,500101040.0,公館站出口3,466.0412328024849,公館
YouBike2.0_捷運大安森林公園站(5號出口),500101155.0,大安森林公園站出口5,45.704112279488925,大安森林公園
YouBike2.0_臺北科技大學(電機工程系),500101182.0,忠孝新生站出口3,317.0726808557942,忠孝新生
YouBike2.0_第二學生活動中心,500101023.0,公館站出口2,248.33836004192597,公館
YouBike2.0_八德市場,500101142.0,忠孝新生站出口3,369.4307984097288,忠孝新生
YouBike2.0_建國和平路口西北側,500101115.0,大安森林公園站出口5,452.35546073054746,大安森林公園
YouBike2.0_信義建國路口,500101156.0,大安森林公園站出口5,166.8818501639149,大安森林公園
YouBike2.0_和平東建國南路口,500101175.0,大安森林公園站出口5,482.2385506101944,大安森林公園
YouBike2.0_臺北市立圖書館(總館),500101113.0,大安森林公園站出口5,333.4783982948824,大安森林公園
YouBike2.0_建國濟南路口,500101132.0,大安森林公園站出口6,420.4255981970308,大安森林公園
YouBike2.0_建國南路一段279巷口,500101148.0,大安森林公園站出口6,307.4171844650604,大安森林公園
YouBike2.0_台北科技大學億光大樓,500101127.0,忠孝新生站出口3,517.0569616743815,忠孝新生
YouBike2.0_昌隆公園,500101143.0,忠孝復興站出口1,438.2594783319718,忠孝復興
YouBike2.0_和平東路二段90巷,500101234.0,科技大樓站出口,451.4398222903546,科技大樓
YouBike2.0_信義路三段134巷口,500101201.0,大安站出口2,213.181098588331,大安
YouBike2.0_臺灣科技大學側門,500101025.0,公館站出口2,566.3878808245968,公館
YouBike2.0_羅斯福路四段113巷19弄口,500101219.0,萬隆站出口4,468.6251506362824,萬隆
YouBike2.0_忠孝東路三段217巷口,500101183.0,忠孝復興站出口1,319.4702739307604,忠孝復興
YouBike2.0_瑞安街208巷,500101163.0,大安站出口2,253.53451772982572,大安
YouBike2.0_公館公園,500101026.0,萬隆站出口4,554.5952213412161,萬隆
YouBike2.0_臺大法人語言訓練中心前,500101039.0,科技大樓站出口,432.7089797204103,科技大樓
YouBike2.0_敦親公園,500101190.0,科技大樓站出口,324.27327003176606,科技大樓
YouBike2.0_懷生國中,500101213.0,忠孝復興站出口1,235.5133823869666,忠孝復興
YouBike2.0_國北教大實小東側門,500101003.0,科技大樓站出口,287.641820409282,科技大樓
YouBike2.0_捷運大安站(2號出口),500101135.0,大安站出口2,20.404583255027863,大安
YouBike2.0_臺灣科技大學正門,500101024.0,科技大樓站出口,720.7549192954257,科技大樓
YouBike2.0_臺大資訊大樓,500101209.0,科技大樓站出口,379.9658001743424,科技大樓
YouBike2.0_臺灣科技大學後門,500101027.0,萬隆站出口3,621.8110561782632,萬隆
YouBike2.0_捷運大安站(3號出口),500101206.0,大安站出口3,19.03878087454517,大安
YouBike2.0_和平公園東側,500101004.0,科技大樓站出口,178.57300703017506,科技大樓
YouBike2.0_臺大社科院圖書館前,500101038.0,科技大樓站出口,312.0463583182964,科技大樓
YouBike2.0_臺大動物醫院前,500101034.0,科技大樓站出口,609.9924790065265,科技大樓
YouBike2.0_辛亥復興路口西北側,500101005.0,科技大樓站出口,278.4082132156847,科技大樓
YouBike2.0_復興南路一段126巷口,500101177.0,忠孝復興站出口1,76.39161337830272,忠孝復興
YouBike2.0_復興南路二段340巷口,500101007.0,科技大樓站出口,214.9178795778604,科技大樓
YouBike2.0_復興南路二段280號前,500101006.0,科技大樓站出口,115.43077457639704,科技大樓
YouBike2.0_和平復興路口西北側,500101013.0,科技大樓站出口,54.84887249107403,科技大樓
YouBike2.0_復興南路二段128巷口,500101174.0,科技大樓站出口,146.12743733778194,科技大樓
YouBike2.0_大安高工,500101151.0,大安站出口5,100.11375316290189,大安
YouBike2.0_復興南路1段340巷口,500101131.0,大安站出口6,177.28820678525204,大安
YouBike2.0_復興南路二段273號前,500101002.0,科技大樓站出口,30.22291238310797,科技大樓
YouBike2.0_捷運科技大樓站,500101001.0,科技大樓站出口,7.2542727730449075,科技大樓
YouBike2.0_捷運忠孝復興站(2號出口),500101133.0,忠孝復興站出口2,50.64265967746495,忠孝復興
YouBike2.0_捷運大安站(5號出口),500101217.0,大安站出口5,9.773447386747751,大安
YouBike2.0_捷運大安站(6號出口),500101186.0,大安站出口6,45.622913658483085,大安
YouBike2.0_臺大醫學院附設癌醫中心,500101028.0,科技大樓站出口,692.1946290834749,科技大樓
YouBike2.0_復興忠孝東路口(東南側),500101227.0,忠孝復興站出口2,54.057910273956416,忠孝復興
YouBike2.0_捷運大安站(4號出口),500101134.0,大安站出口4,9.566116511519525,大安
YouBike2.0_仁愛復興路口,500101237.0,忠孝復興站出口2,184.5946066771448,忠孝復興
YouBike2.0_市民復興路口(東南側),500101198.0,忠孝復興站出口5,157.0889352605172,忠孝復興
YouBike2.0_大安區健康服務中心,500101093.0,科技大樓站出口,276.75489764972343,科技大樓
YouBike2.0_捷運忠孝復興站(3號出口),500101233.0,忠孝復興站出口5,33.80902883605763,忠孝復興
YouBike2.0_臺大國青大樓宿舍前,500101037.0,科技大樓站出口,322.86571780515897,科技大樓
YouBike2.0_基隆長興路口,500101193.0,科技大樓站出口,535.515547511855,科技大樓
YouBike2.0_捷運忠孝復興站(5號出口),500101159.0,忠孝復興站出口5,60.5531978001008,忠孝復興
YouBike2.0_捷運科技大樓站(台北教育大學),500101166.0,科技大樓站出口,136.03629628303952,科技大樓
YouBike2.0_基隆長興路口東側,500101042.0,科技大樓站出口,530.421225423592,科技大樓
YouBike2.0_臺大萬才館前,500101036.0,科技大樓站出口,370.3789786266334,科技大樓
YouBike2.0_臺大環研大樓,500101029.0,科技大樓站出口,818.408369686897,科技大樓
YouBike2.0_東豐公園,500101157.0,大安站出口6,179.34342436569491,大安
YouBike2.0_臺大男六舍前,500101033.0,科技大樓站出口,580.1349073391278,科技大樓
YouBike2.0_臺大男一舍前,500101032.0,科技大樓站出口,600.2249014511336,科技大樓
YouBike2.0_忠孝東路四段49巷口,500101197.0,忠孝復興站出口4,39.03561332281515,忠孝復興
YouBike2.0_大安運動中心,500101191.0,科技大樓站出口,393.4925135985919,科技大樓
YouBike2.0_仁愛醫院,500101168.0,忠孝復興站出口3,256.2357798529404,忠孝復興
YouBike2.0_瑠公公園,500101153.0,忠孝復興站出口4,118.6770411479384,忠孝復興
YouBike2.0_仁愛大安路口(東北側),500101228.0,忠孝復興站出口4,253.3953330661652,忠孝復興
YouBike2.0_信義大安路口(信維大樓),500101136.0,大安站出口4,268.39318473779235,大安
YouBike2.0_大安運動中心停車場,500101015.0,科技大樓站出口,460.1187954558934,科技大樓
YouBike2.0_臺大永齡生醫工程館,500101030.0,科技大樓站出口,799.4187915757998,科技大樓
YouBike2.0_國北教大側門南側,500101091.0,科技大樓站出口,383.2407975374397,科技大樓
YouBike2.0_成功國宅,500101170.0,科技大樓站出口,340.62187984143003,科技大樓
YouBike2.0_和平臥龍街口,500101019.0,科技大樓站出口,355.1851206226564,科技大樓
YouBike2.0_臺大男七舍前,500101031.0,科技大樓站出口,729.2666663645416,科技大樓
YouBike2.0_和平實小東北側,500101092.0,科技大樓站出口,460.6465818580086,科技大樓
YouBike2.0_仁愛路四段48巷口,500101180.0,忠孝敦化站出口6,369.14244186640985,忠孝敦化
YouBike2.0_臺大土木研究大樓前,500101035.0,科技大樓站出口,653.0925457228644,科技大樓
YouBike2.0_德安公園(四維路66巷),500101158.0,忠孝敦化站出口6,402.8269348772977,忠孝敦化
YouBike2.0_芳蘭山莊,500101176.0,六張犁站出口,865.4020557042224,六張犁
YouBike2.0_仁愛敦南圓環(西北側),500101214.0,忠孝敦化站出口6,205.5033099819359,忠孝敦化
YouBike2.0_龍門廣場,500101137.0,忠孝敦化站出口6,102.93963487049614,忠孝敦化
YouBike2.0_敦化基隆路口,500101123.0,六張犁站出口,493.4039671772364,六張犁
YouBike2.0_外交部外交及國際事務學院,500101204.0,忠孝敦化站出口6,244.64797523104303,忠孝敦化
YouBike2.0_臥龍基隆路口,500101189.0,六張犁站出口,509.3209995968679,六張犁
YouBike2.0_敦化市民路口,500101154.0,忠孝敦化站出口8,140.01601354417946,忠孝敦化
YouBike2.0_四維路170巷口,500101205.0,信義安和站出口2,497.2408784235493,信義安和
YouBike2.0_敦化南路二段81巷,500101210.0,信義安和站出口2,416.9066704856343,信義安和
YouBike2.0_敦化南路二段293巷口南側,500101122.0,六張犁站出口,416.7412406795551,六張犁
YouBike2.0_臺北遠企購物中心,500101203.0,六張犁站出口,454.2247550153746,六張犁
YouBike2.0_辛亥路三段157巷口,500101188.0,六張犁站出口,561.8306530794962,六張犁
YouBike2.0_敦化南路二段103巷口,500101173.0,信義安和站出口2,444.4366882407303,信義安和
YouBike2.0_和平敦化路口,500101192.0,六張犁站出口,408.07648200047794,六張犁
YouBike2.0_仁愛敦南圓環(東南側),500101202.0,忠孝敦化站出口6,226.62861412032467,忠孝敦化
YouBike2.0_捷運忠孝敦化站(7號出口),500101161.0,忠孝敦化站出口8,27.74369079274005,忠孝敦化
YouBike2.0_市民敦化路口,500101196.0,忠孝敦化站出口8,160.13975992780829,忠孝敦化
YouBike2.0_敦化南路一段295巷口,500101225.0,忠孝敦化站出口6,323.266208834854,忠孝敦化
YouBike2.0_信義敦化路口,500101139.0,信義安和站出口2,285.4085574053197,信義安和
YouBike2.0_安和路二段181巷口,500101124.0,六張犁站出口,372.9574091655312,六張犁
YouBike2.0_仁愛路四段122巷口,500101194.0,忠孝敦化站出口5,212.5697233363787,忠孝敦化
YouBike2.0_芳和國中,500101095.0,六張犁站出口,408.7192963527922,六張犁
YouBike2.0_臥龍公園,500101098.0,六張犁站出口,515.7031381728876,六張犁
YouBike2.0_仁愛敦南圓環(東側),500101238.0,忠孝敦化站出口4,193.27722890475272,忠孝敦化
YouBike2.0_大安國小,500101231.0,六張犁站出口,301.8983892503059,六張犁
YouBike2.0_全安公園,500101200.0,六張犁站出口,210.88855231397952,六張犁
YouBike2.0_樂利路21巷口,500101165.0,六張犁站出口,273.7808917327367,六張犁
YouBike2.0_立人國小,500101215.0,信義安和站出口2,214.6885410441528,信義安和
YouBike2.0_信義路四段199巷,500101208.0,信義安和站出口2,118.90628179805935,信義安和
YouBike2.0_仁愛國中,500101140.0,信義安和站出口1,238.52635189317309,信義安和
YouBike2.0_捷運信義安和站(2號出口),500101141.0,信義安和站出口2,69.16481074875618,信義安和
YouBike2.0_嘉興公園,500101099.0,六張犁站出口,179.9969942370981,六張犁
YouBike2.0_臥龍街195巷口,500101187.0,六張犁站出口,354.7275017684297,六張犁
YouBike2.0_樂利路101巷口,500101223.0,六張犁站出口,99.78969835565567,六張犁
YouBike2.0_捷運忠孝敦化站(2號出口),500101160.0,忠孝敦化站出口2,78.72763876163857,忠孝敦化
YouBike2.0_安和路二段69巷口,500101230.0,信義安和站出口2A,133.3082339698465,信義安和
YouBike2.0_捷運信義安和站(1號出口),500101172.0,信義安和站出口1,6.609501433796805,信義安和
YouBike2.0_捷運六張犁站,500101101.0,六張犁站出口,10.974964269137264,六張犁
YouBike2.0_仁愛安和路口,500101138.0,信義安和站出口1,243.7946769062905,信義安和
YouBike2.0_通安區民活動中心,500101226.0,信義安和站出口2A,203.39674504799245,信義安和
YouBike2.0_法治公園,500101103.0,六張犁站出口,188.5183494832326,六張犁
YouBike2.0_捷運信義安和站(4號出口),500101169.0,信義安和站出口5,32.49023628792979,信義安和
