sno,stop_name,category,value
500104041.0,捷運士林站(2號出口),高,3
500104043.0,士林高商,高,3
500104044.0,蘭雅公園,高,3
500104045.0,聯合醫院陽明院區,高,3
500104046.0,捷運芝山站(1號出口),中,2
500104047.0,至誠公園,高,3
500104048.0,原住民文化主題公園,高,3
500104049.0,通河東街2段10巷口,高,3
500104050.0,梅林新村,高,3
500104051.0,延平北中正路口,高,3
500104052.0,重慶北路四段190巷口,高,3
500104053.0,重慶北葫東街口,高,3
500104054.0,葫蘆國小,高,3
500104055.0,士林3號廣場,中,2
500104056.0,社正公園,高,3
500104057.0,社子國小,高,3
500104058.0,社中街384巷口,高,3
500104059.0,忠誠路一段138號,高,3
500104060.0,社子公園,高,3
500104061.0,國立故宮博物院,高,3
500104062.0,泰北高中,高,3
500104063.0,後港公園,高,3
500104064.0,重慶北路四段117號,高,3
500104065.0,社子島島頭公園,高,3
500104066.0,延平北路八段133巷口,高,3
500104067.0,坤天亭,高,3
500104068.0,社子島濕地解說小築,高,3
500104069.0,福安國中,高,3
500104070.0,福安消防分隊,高,3
500104071.0,聖山綠地,高,3
500104072.0,芝山國小,高,3
500104073.0,士林新天地,高,3
500104074.0,蘭雅國小,高,3
500104075.0,中正基河路口,高,3
500104076.0,福林公園(中正路),高,3
500104077.0,至善臨溪路口,高,3
500104078.0,市立圖書館葫蘆堵分館,高,3
500104079.0,東山路110巷口,高,3
500104080.0,永平社會住宅,高,3
500104081.0,雨農橋,高,3
500104082.0,通河街76巷/承德路四段10巷口,中,2
500104083.0,芝山聖佑宮,高,3
500104084.0,至誠雨聲街口,中,2
500104085.0,捷運線型公園(後街),高,3
500104086.0,天母公園,高,3
500104087.0,基河文林路口,高,3
500104088.0,文林福華路口,高,3
500104089.0,劍潭海外青年活動中心,高,3
500104090.0,社子國小,高,3
500104091.0,捷運劍潭站(1號出口),高,3
500104092.0,德行東山路口,高,3
500104094.0,重慶北通河西街口,高,3
500104095.0,葫蘆國小(延平北路五段285巷),高,3
500104096.0,社子市場,高,3
500104097.0,士林區農會社子分部,高,3
500104098.0,承德劍潭路口,高,3
500104099.0,文林路101巷口,高,3
500104100.0,延平北路五段257巷15弄口,高,3
500104101.0,延平北路五段257巷4弄口,高,3
500104102.0,啟明學校,高,3
500104103.0,中山福國路口,中,2
500104104.0,德行公園,中,2
500104105.0,承德後港街口,中,2
500104106.0,中山北路五段698巷口,高,3
500104107.0,捷運士林站(1號出口),高,3
500104108.0,捷運芝山站(2號出口),中,2
500104109.0,銘傳大學(中山北路五段280巷口),高,3
500104110.0,海光公園南側,高,3
500104111.0,士商路40巷口,高,3
500104112.0,劍潭郵局,高,3
500104113.0,士東路91巷口,高,3
500104114.0,美崙公園,高,3
500104115.0,臺北市立大學(忠誠路二段207巷),高,3
500104116.0,天母東路8巷/忠誠路二段154巷口,高,3
500104117.0,美崙公園(東北側),高,3
500104118.0,福安河濱公園,高,3
500105001.0,台北花木批發市場,高,3
500105002.0,捷運萬隆站(4號出口),高,3
500105003.0,捷運萬隆站(1號出口),高,3
500105004.0,萬和二號公園,高,3
500105005.0,捷運萬隆站(2號出口),中,2
500105006.0,景仁公園,高,3
500105007.0,捷運景美站(2號出口),高,3
500105008.0,羅斯福景隆街口,高,3
500105009.0,景福街/羅斯福路6段142巷口,高,3
500105010.0,興旺公園,高,3
500105011.0,興福國中,高,3
500105012.0,興隆路2段203巷,高,3
500105013.0,景美運動公園,中,2
500105014.0,景美醫院,高,3
500105015.0,師範大學公館校區,中,2
500105016.0,景華街128巷口,中,2
500105017.0,仙跡岩登山口(景興路),高,3
500105018.0,國立政治大學,高,3
500105019.0,捷運動物園站,中,2
500105020.0,捷運木柵站,高,3
500105021.0,捷運萬芳社區站,高,3
500105022.0,文山運動中心,高,3
500105023.0,捷運辛亥站,中,2
500105024.0,興豐公園,高,3
500105025.0,木柵光輝路口,高,3
500105026.0,考試院,高,3
500105027.0,和興路26巷口,高,3
500105028.0,世新大學,高,3
500105029.0,一壽橋,高,3
500105030.0,臺北市立景美女中,高,3
500105031.0,永安藝文館-表演36房,高,3
500105032.0,忠順區民活動中心,高,3
500105033.0,景文中學,高,3
500105034.0,老泉街籃球場,高,3
500105035.0,文山行政中心,高,3
500105036.0,木柵公園,中,2
500105037.0,興隆公共住宅D2區,高,3
500105038.0,木新路3段95巷口,高,3
500105039.0,樟腳里公園,高,3
500105040.0,實踐國中,高,3
500105041.0,指南路3段2巷,中,2
500105042.0,萊茵公園,高,3
500105043.0,木柵社會住宅,高,3
500105044.0,秀明路一段185巷口,高,3
500105045.0,秀明路一段129巷口,高,3
500105046.0,恆光橋(老泉街),高,3
500105047.0,萬有3號公園,中,2
500105048.0,捷運萬芳醫院站(興隆路三段115巷),中,2
500105049.0,興得閱覽室,高,3
500105050.0,辛亥生態公園,中,2
500105051.0,博嘉運動公園,中,2
500105052.0,國立政治大學(萬壽路),高,3
500105053.0,仙岩公園,中,2
500105054.0,政大一街口,中,2
500105055.0,文山第二行政中心,高,3
500105056.0,移民署訓練中心,高,3
500105057.0,海巡署(南側),中,2
500105058.0,明道國小東南側,中,2
500105059.0,木南公園,中,2
500105060.0,實踐國中(木新路三段310巷口),高,3
500105061.0,師範大學公館校區,中,2
500105062.0,捷運動物園站(2號出口),高,3
500105063.0,政大水岸電梯,高,3
500105064.0,敦南山林,高,3
,辛亥路五段73巷口,中,2
500105066.0,景美污水抽水站,中,2
500105067.0,萬和三號公園(北側),高,3
500105068.0,景興國中,中,2
500105069.0,景仁公園,高,3
500105070.0,師大公館校區學二舍,中,2
500105071.0,景行公園,中,2
500105072.0,萬興國小,高,3
500105073.0,辛亥路四段77巷口,中,2
500105074.0,景興路42巷口,中,2
500105075.0,木柵路三段48巷,高,3
500105076.0,木柵路二段109巷,高,3
500105077.0,試院公園,高,3
500105080.0,萬美萬安街口,中,2
500105081.0,興隆路二段203巷(敦南),高,3
500105082.0,新光秀明路口,中,2
500105083.0,光輝路134巷口,高,3
500105084.0,光輝公園,高,3
500106001.0,臺北自來水事業處,中,2
500106002.0,汀州思源街口東南側,中,2
500106003.0,捷運公館站(1號出口),中,2
500106004.0,捷運公館站(4號出口),中,2
500106005.0,捷運古亭站(9號出口),中,2
500106006.0,捷運古亭站(2號出口),高,3
500106007.0,捷運臺電大樓站(1號出口),中,2
500106008.0,客家文化主題公園,中,2
500106009.0,河堤國小,高,3
500106010.0,紀州庵,高,3
500106011.0,捷運臺電大樓站(5號出口),中,2
500106012.0,捷運臺電大樓站(4號出口),中,2
500106013.0,羅斯福三段金門街口,高,3
500106014.0,牯嶺公園,高,3
500106015.0,捷運古亭站(8號出口),中,2
500106016.0,捷運古亭站(7號出口),中,2
500106017.0,南昌公園,高,3
500106018.0,和平重慶路口,高,3
500106019.0,孫立人將軍官邸,高,3
500106020.0,羅斯福路二段6巷口,高,3
500106021.0,金華杭州南路口,高,3
500106022.0,捷運中正紀念堂站(3號出口),中,2
500106023.0,捷運中正紀念堂站(4號出口),高,3
,重慶南海路口西南側,高,3
,螢橋國小,高,3
500106026.0,古亭智慧圖書館,高,3
500106027.0,永昌公園,高,3
500106028.0,中華路二段409巷口,高,3
500106029.0,南機場夜市(中華路二段),高,3
500106030.0,南海和平路口西南側,高,3
500106031.0,莒光和平路口,高,3
500106037.0,水源路11-1號旁,中,2
500106038.0,南門國中,高,3
500106039.0,捷運小南門站(2號出口),中,2
500106040.0,介壽公園,中,2
500106041.0,中華貴陽街口,高,3
500106042.0,華山文創園區,中,2
500106043.0,捷運善導寺站(1號出口),中,2
500106044.0,濟南紹興路口,高,3
500106046.0,林森仁愛路口,中,2
500106047.0,中正運動中心,中,2
500106048.0,信義杭州路口,高,3
500106049.0,捷運善導寺站(3號出口),中,2
500106050.0,捷運小南門站(1號出口),高,3
500106051.0,延平南路133巷口,高,3
500106052.0,捷運西門站(2號出口),中,2
500106053.0,寶慶博愛路口,高,3
500106054.0,法務部,中,2
500106055.0,臺北市立大學(博愛校區),高,3
500106056.0,國家圖書館,中,2
500106057.0,市民金山路口,中,2
500106058.0,聯合醫院和平院區,高,3
500106059.0,中山堂,高,3
500106060.0,中華漢口街口,中,2
500106061.0,中華路一段21巷口,高,3
500106062.0,捷運臺大醫院站(4號出口),高,3
500106063.0,寶藏巖觀音亭,高,3
500106064.0,師大水源路口,中,2
,中山徐州路口,中,2
500106066.0,信義連雲街口,高,3
500106067.0,臺北轉運站,高,3
500106068.0,莒光大埔街口,高,3
500106069.0,捷運忠孝新生站(2號出口),中,2
500106070.0,光華商場,中,2
500106071.0,中山青島路口,高,3
500106072.0,捷運中正紀念堂站(5號出口),中,2
500106073.0,北平東杭州北路口,中,2
500106074.0,王貫英先生紀念圖書館,高,3
500106075.0,金山信義路口,高,3
500106077.0,林森徐州路口,高,3
500106078.0,徐州杭州路口,高,3
500106079.0,捷運中正紀念堂站(6號出口),中,2
500106080.0,捷運臺北車站(M2出口),中,2
500106083.0,臺北市國父史蹟館(逸仙公園),中,2
500106084.0,捷運西門站(5號出口),高,3
500106085.0,弘道國中,中,2
500106086.0,臺北市第一女子高級中學,中,2
500106087.0,台北市替代役中心,高,3
500106088.0,紹興徐州路口,高,3
500106089.0,羅斯福寧波東街口,中,2
500106090.0,自來水園區,中,2
500106091.0,仁愛林森路口,中,2
500106092.0,捷運西門站(3號出口),高,3
500106093.0,仁愛金山路口,中,2
500106094.0,杭州南路一段101巷口,中,2
500106095.0,仁愛杭州路口,高,3
500106096.0,龍興里活動中心,中,2
500106097.0,植物園,高,3
500106098.0,郵政博物館,高,3
500106099.0,林森北平路口,中,2
500106100.0,北平紹興路口,中,2
500106101.0,天津北平路口,高,3
500106102.0,捷運忠孝新生站(1號出口),中,2
500106103.0,捷運忠孝新生站(5號出口),中,2
500106104.0,捷運臺大醫院站(1號出口),中,2
500106105.0,臺大醫院兒童醫院,中,2
500106106.0,林森濟南路口(東北側),中,2
500106107.0,仁愛紹興街口(南側),中,2
500106108.0,中華南海路口,高,3
500106109.0,立法院台北會館,高,3
500106110.0,捷運善導寺站(3號出口)(忠孝東路側),中,2
500106111.0,國家音樂廳,中,2
500106112.0,忠孝西重慶南路口,高,3
500106113.0,濟南路二段8巷口,高,3
500106114.0,仁愛金山路口(東南側),中,2
500106115.0,臺灣文學基地,高,3
500106116.0,重慶南詔安街口,中,2
500106117.0,文光公園,高,3
500106118.0,捷運中正紀念堂站(2號出口),中,2
500106119.0,螢圃里小公園,中,2
500106120.0,螢橋公園,中,2
500106121.0,泉州寧波西街口,高,3
500107001.0,通北街65巷口,高,3
500107002.0,圓山風景區,高,3
500107003.0,樂群二堤頂大道口,中,2
500107004.0,劍潭社區,中,2
500107005.0,培英公園,高,3
500107006.0,樂群二明水路口,高,3
500107007.0,北安大直街口,高,3
500107008.0,捷運劍南路站(2號出口),高,3
500107009.0,樂群二敬業三路口,中,2
500107010.0,樂群二敬業四路口,高,3
500107011.0,捷運大直站(3號出口),高,3
500107012.0,復興市民路口,高,3
500107013.0,南京遼寧街口,中,2
500107014.0,伊通長安路口,高,3
500107015.0,新生長安路口,中,2
500107016.0,市民林森路口,高,3
500107017.0,南京新生路口,高,3
500107018.0,一江公園,中,2
500107019.0,松江公園,中,2
500107020.0,新生長春路口,中,2
500107021.0,第二果菜批發市場,高,3
500107022.0,民生建國路口,高,3
500107023.0,興安華城,高,3
500107024.0,捷運中山國中站,高,3
500107025.0,龍江錦州街口,高,3
500107026.0,建國長春路口,高,3
500107027.0,南京建國路口,高,3
500107028.0,捷運松江南京站(7號出口),高,3
500107029.0,朱崙商場,高,3
500107030.0,中吉公園,高,3
500107031.0,華山公園,高,3
500107032.0,建國北路一段17巷,高,3
500107033.0,江寧公園,高,3
500107034.0,民權龍江路口,高,3
500107035.0,捷運中山國小站(2號出口),中,2
500107036.0,捷運行天宮站(3號出口),中,2
500107037.0,林森農安街口,高,3
500107038.0,捷運中山國小站(4號出口),中,2
500107039.0,農安雙城街口,高,3
500107040.0,新生德惠街口,中,2
500107041.0,民族林森路口,高,3
500107042.0,臺北市立美術館,中,2
500107043.0,中山民族路口,高,3
500107044.0,新生高架停車場(林森北路107巷口),中,2
500107045.0,南京林森路口(東南側),中,2
500107046.0,仁德公園,高,3
500107047.0,中原公園,中,2
500107048.0,下埤公園,高,3
500107049.0,五常國中,高,3
500107050.0,榮星花園,高,3
500107051.0,民權建國路口,高,3
500107052.0,松江路431巷口,中,2
500107053.0,新喜公園,中,2
500107054.0,吉林路407巷口,高,3
500107055.0,民族松江路口,高,3
500107056.0,林安泰古厝,高,3
500107057.0,中山公民會館,中,2
500107058.0,渭水八德路口,中,2
500107059.0,捷運中山站(2號出口),高,3
500107060.0,撫順公園,中,2
500107061.0,新生公園,高,3
500107062.0,捷運行天宮站(1號出口),中,2
500107063.0,林森長春路口,高,3
500107064.0,建國農安街口,高,3
500107065.0,松江路77巷口,中,2
500107066.0,建國長安路口,高,3
500107067.0,市民新生路口,中,2
500107068.0,民權吉林路口,高,3
500107069.0,中山農安街口,高,3
500107070.0,捷運行政大樓,中,2
500107071.0,中吉公園(松江路188巷),中,2
500107072.0,吉林路123巷口,高,3
500107074.0,中原民生路口,高,3
500107075.0,國立臺北大學(臺北校區),高,3
500107076.0,錦州吉林路口,高,3
500107077.0,中山北路二段59巷口,中,2
500107078.0,永盛公園(民生東路一段23巷),高,3
500107079.0,新生錦州街口,中,2
500107080.0,濱江街199巷口,中,2
500107081.0,大佳社區公園,高,3
500107082.0,濱江果菜市場,高,3
500107083.0,興安合江路口,中,2
500107084.0,復興北路514巷口東側,中,2
500107085.0,台泥大樓,高,3
500107086.0,植福樂群路口,中,2
500107087.0,新興公園,高,3
500107088.0,南京伊通街口,中,2
500107089.0,南京龍江路口,中,2
500107090.0,撫順街41巷(崇德宮前),高,3
500107091.0,臺北市立圖書館大直分館,高,3
500107092.0,捷運大直站(1號出口),高,3
500107093.0,捷運松江南京站(4號出口),中,2
500107095.0,中429公園,高,3
500107096.0,長春路137巷口,中,2
500107097.0,松江民生路口,中,2
500107098.0,松江路132巷口,中,2
500107099.0,長春吉林路口,中,2
500107100.0,長春一江街口,中,2
500107101.0,捷運松江南京站(8號出口),中,2
500107102.0,南京一江街口,中,2
500107103.0,松江長春路口,中,2
500107104.0,經國七海文化園區,高,3
500107105.0,民族玉門街口,中,2
500107106.0,新生農安街口,中,2
500107107.0,稻江高級護理家事職業學校,中,2
500107108.0,捷運大直站(3號出口),中,2
500107109.0,樂群二明水路口,高,3
,民權吉林路口(南側),高,3
500107111.0,長春龍江路口,高,3
500107112.0,民權新生路口,中,2
500107113.0,建國長春路口(北側),高,3
500107114.0,中山行政中心,高,3
500107115.0,臺北市立美術館,高,3
500107116.0,劍潭社區,高,3
500107117.0,濱江國小游泳池,高,3
500107118.0,林森公園,高,3
500107119.0,中428公園,中,2
500107120.0,復華公園,高,3
500107121.0,新生民族路口(西南側),中,2
500107122.0,捷運南京復興站(1號出口),中,2
500107123.0,八德市場(北側),中,2
500107124.0,龍江朱崙街口,高,3
500107125.0,大直街94巷,中,2
500107126.0,捷運南京復興站(8號出口),中,2
500107127.0,民權建國路口(南側),中,2
500107128.0,林森德惠街口,高,3
500107129.0,新生濱江街口(東南側),高,3
500107130.0,新生北路一段62巷口,中,2
500107131.0,新生長春路口(東北側),中,2
500107132.0,捷運劍南路站(1號出口),高,3
500107133.0,敬業三樂群三路口(西北側),中,2
500107134.0,長春路258巷2弄口,中,2
500107135.0,長寧大廈社區(南側),中,2
500107136.0,建國五常街口,高,3
500107137.0,中山北路二段62巷口,中,2
500107138.0,市民安東街口,中,2
500107139.0,市民大道二段5巷口,高,3
500107140.0,捷運中山站(3號出口),中,2
500108001.0,文湖街21巷118弄口,高,3
500108002.0,北勢湖環保公園,中,2
500108003.0,洲子一號公園,高,3
500108004.0,西康公園,中,2
500108005.0,文湖國小,高,3
500108006.0,文湖街81巷10號西側,中,2
500108007.0,德明財經科技大學,中,2
,麗山國小,高,3
500108009.0,麗山高中,中,2
500108010.0,港華五號公園,中,2
500108011.0,大湖國小,中,2
500108012.0,安湖三號公園,中,2
500108013.0,東湖路113巷95弄,中,2
500108014.0,瑞光計程車服務站,中,2
500108015.0,文德三號公園(江南街71巷16弄),中,2
500108016.0,捷運大湖公園站(2號出口),高,3
500108018.0,康寧星雲街口,中,2
500108019.0,星雲街47號,中,2
500108020.0,捷運西湖站(1號出口),中,2
500108021.0,捷運西湖站(2號出口),中,2
500108022.0,洲子二號公園,高,3
500108023.0,港都公園,中,2
500108024.0,環山路二段26巷口,中,2
500108025.0,成功金龍路口,高,3
500108026.0,碧山公園,高,3
500108027.0,金瑞公園,高,3
500108028.0,捷運文德站(2號出口),高,3
500108029.0,陽光公園,高,3
500108030.0,文德二號公園(南側),中,2
500108031.0,文德二號公園(北側),中,2
500108032.0,瑞陽公園,中,2
500108033.0,湖光國宅,高,3
500108034.0,潭美街213號,高,3
500108035.0,南京東路六段180號,高,3
500108036.0,潭美國小(南京舊宗路口),中,2
500108037.0,新明路343號,高,3
500108038.0,週美里活動廣場,高,3
500108039.0,內湖行政中心,高,3
500108040.0,樂康公園,高,3
500108041.0,安康路32巷24弄,中,2
500108043.0,明美公園,中,2
500108044.0,南京東路六段368巷,高,3
500108045.0,新明成功路口,高,3
